Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,CP,12,1990,1.7,1,1,1,1,"",$3026,44438
1,CP,12,1990,1.7,1,1,1,1,"",$6251,44443
1,CP,12,1990,1.7,1,1,1,1,"",$8508,44462
1,CP,12,1990,1.7,1,1,1,1,"",$6733,44464
1,CP,12,1990,1.7,1,1,1,1,"",$5924,44474
1,CP,12,1990,1.7,1,1,1,1,"",$1134,44475
1,CP,12,1990,1.7,1,1,1,1,"",$8240,44486
1,CP,12,1990,1.7,1,1,1,1,"",$99916,44487
1,CP,12,1990,1.7,1,1,1,1,"",$6613,44492
1,CP,12,1990,1.7,1,1,1,1,"",$8235,44498
1,CP,12,1990,1.7,1,1,1,1,"",$10291,44528
1,CP,12,1990,1.7,1,1,1,1,"",$17155,44531
1,CP,12,1990,1.7,1,1,1,1,"",$8166,44536
1,CP,12,1990,1.7,1,1,1,1,"",$9439,44540
1,CP,12,1990,1.7,1,1,1,1,"",$47738,44546
1,CP,12,1990,1.7,1,1,1,1,"",$13826,44566
1,CP,12,1990,1.7,1,1,1,1,"",$28671,44567
1,CP,12,1990,1.7,1,1,1,1,"",$5233,44580
1,CP,12,1990,1.7,1,1,1,1,"",$3079,44583
1,CP,12,1990,1.7,1,1,1,1,"",$12505,44584
1,CP,12,1990,1.7,1,1,1,1,"",$39088,44598
1,CP,12,1990,1.7,1,1,1,1,"",$5445,44601
1,CP,12,1990,1.7,1,1,1,1,"",$1103,44616
1,CP,12,1990,1.7,1,1,1,1,"",$10412,44617
1,CP,12,1990,1.7,1,1,1,1,"",$33007,44625
1,CP,12,1990,1.7,1,1,1,1,"",$7267,44627
1,CP,12,1990,1.7,1,1,1,1,"",$8151,44638
1,CP,12,1990,1.7,1,1,1,1,"",$14095,44647
1,CP,12,1990,1.7,1,1,1,1,"",$3881,44652
1,CP,12,1990,1.7,1,1,1,1,"",$4454,44667
1,CP,12,1990,1.7,1,1,1,1,"",$74571,44671
1,CP,12,1990,1.7,1,1,1,1,"",$38352,44672
1,CP,12,1990,1.7,1,1,1,1,"",$8797,44674
1,CP,12,1990,1.7,1,1,1,1,"",$6120,44675
1,CP,12,1990,1.7,1,1,1,1,"",$1109,44682
1,CP,12,1990,1.7,1,1,1,1,"",$83084,44699
1,CP,12,1990,1.7,1,1,1,1,"",$4152,44700
1,CP,12,1990,1.7,1,1,1,1,"",$5973,44728
1,CP,12,1990,1.7,1,1,1,1,"",$12548,44735
1,CP,12,1990,1.7,1,1,1,1,"",$5659,44738
1,CP,12,1990,1.7,1,1,1,1,"",$102487,44751
1,CP,12,1990,1.7,1,1,1,1,"",$8108,44757
1,CP,12,1990,1.7,1,1,1,1,"",$10129,44780
1,CP,12,1990,1.7,1,1,1,1,"",$5264,44805
1,CP,12,1990,1.7,1,1,1,1,"",$4383,44806
1,CP,12,1990,1.7,1,1,1,1,"",$96322,44808
1,CP,12,1990,1.7,1,1,1,1,"",$3680,44811
1,CP,12,1990,1.7,1,1,1,1,"",$12517,44848
1,CP,12,1990,1.7,1,1,1,1,"",$7316,44851
1,CP,12,1990,1.7,1,1,1,1,"",$9330,44855
1,CP,12,1990,1.7,1,1,1,1,"",$5177,44872
1,CP,12,1990,1.7,1,1,1,1,"",$6934,44913
1,CP,12,1990,1.7,1,1,1,1,"",$1824,44919
1,CP,12,1990,1.7,1,1,1,1,"",$80101,44923
1,CP,12,1990,1.7,1,1,1,1,"",$7504,44938
1,CP,12,1990,1.7,1,1,1,1,"",$5786,44960
1,CP,12,1990,1.7,1,1,1,1,"",$13491,44961
1,CP,12,1990,1.7,1,1,1,1,"",$8157,44967
1,CP,12,1990,1.7,1,1,1,1,"",$6645,44994
1,CP,12,1990,1.7,1,1,1,1,"",$17921,45052
1,CP,12,1990,1.7,1,1,1,1,"",$4114,45061
1,CP,12,1990,1.7,1,1,1,1,"",$11770,45062
1,CP,12,1990,1.7,1,1,1,1,"",$2601,45098
1,CP,12,1990,1.7,1,1,1,1,"",$7067,45119
1,CP,12,1990,1.7,1,1,1,1,"",$7670,45121
1,CP,12,1990,1.7,1,1,1,1,"",$8120,45138
1,CP,12,1990,1.7,1,1,1,1,"",$5872,45147
1,CP,12,1990,1.7,1,1,1,1,"",$9114,45174
1,CP,12,1990,1.7,1,1,1,1,"",$15262,45190
1,CP,12,1990,1.7,1,1,1,1,"",$5080,45191
1,CP,12,1990,1.7,1,1,1,1,"",$12118,45200
1,CP,12,1990,1.7,1,1,1,1,"",$4143,45205
1,CP,12,1990,1.7,1,1,1,1,"",$5696,45220
1,CP,12,1990,1.7,1,1,1,1,"",$10875,45261
1,CP,12,1990,1.7,1,1,1,1,"",$8520,45266
1,CP,12,1990,1.7,1,1,1,1,"",$6587,45293
1,CP,12,1990,1.7,1,1,1,1,"",$4010,45309
1,CP,12,1990,1.7,1,1,1,1,"",$14707,45335
1,CP,12,1990,1.7,1,1,1,1,"",$14404,45339
1,CP,12,1990,1.7,1,1,1,1,"",$7024,45364
1,CP,12,1990,1.7,1,1,1,1,"",$4862,45371
1,CP,12,1990,1.7,1,1,1,1,"",$5928,45392
1,CP,12,1990,1.7,1,1,1,1,"",$5600,45418
1,CP,12,1990,1.7,1,1,1,1,"",$7742,45436
1,CP,12,1990,1.7,1,1,1,1,"",$49204,45470
1,CP,12,1990,1.7,1,1,1,1,"",$12626,45500
1,CP,12,1990,1.7,1,1,1,1,"",$7414,45512
1,CP,12,1990,1.7,1,1,1,1,"",$10919,45529
1,CP,12,1990,1.7,1,1,1,1,"",$7156,45532
1,CP,12,1990,1.7,1,1,1,1,"",$11355,45561
